iter	Passed	Remaining
398	17618	26538
399	17650	26476
400	17692	26428
401	17722	26362
402	17762	26313
403	17797	26256
404	17841	26211
405	17876	26153
406	17913	26100
407	17974	26080
408	18037	26064
409	18091	26034
410	18129	25981
411	18172	25935
412	18206	25877
413	18247	25828
414	18282	25772
415	18316	25713
416	18351	25656
417	18389	25605
418	18420	25543
419	18459	25491
420	18490	25430
421	18525	25374
422	18566	25326
423	18601	25269
424	18643	25223
425	18677	25166
426	18713	25111
427	18746	25053
428	18784	25002
429	18817	24943
430	18847	24882
431	18879	24822
432	18914	24767
433	18945	24707
434	18983	24656
435	19024	24609
436	19063	24559
437	19103	24511
438	19169	24496
439	19217	24458
440	19272	24429
441	19320	24390
442	19351	24331
443	19388	24279
444	19420	24221
445	19452	24163
446	19486	24107
447	19520	24052
448	19559	24003
449	19593	23947
450	19628	23893
451	19657	23832
452	19692	23778
453	19724	23721
454	19756	23664
455	19796	23616
456	19832	23564
457	19879	23525
458	19941	23503
459	20027	23510
460	20085	23483
461	20124	23434
462	20179	23405
463	20233	23373
464	20264	23315
465	20297	23259
466	20338	23213
467	20371	23156
468	20401	23098
469	20436	23045
470	20465	22986
471	20495	22927
472	20530	22874
473	20562	22817
474	20592	22760
475	20624	22703
476	20662	22655
477	20698	22603
478	20729	22546
479	20764	22495
480	20793	22436
481	20825	22380
482	20864	22333
483	20895	22276
484	20928	22223
485	20964	22172
486	20995	22116
487	21032	22067
488	21065	22013
489	21096	21957
490	21126	21900
491	21153	21841
492	21189	21790
493	21222	21738
494	21252	21682
495	21287	21631
496	21318	21576
497	21347	21518
498	21377	21463
499	21407	21407
500	21444	21358
501	21478	21307
502	21513	21256
503	21550	21208
504	21589	21162
505	21622	21109
506	21656	21058
507	21695	21012
508	21730	20961
509	21770	20916
510	21807	20868
511	21844	20820
512	21880	20771
513	22034	20834
514	22108	20820
515	22141	20768
516	22179	20720
517	22233	20688
518	22280	20649
519	22309	20593
520	22343	20542
521	22370	20485
522	22398	20428
523	22425	20371
524	22453	20314
525	22481	20258
526	22506	20200
527	22541	20150
528	22570	20095
529	22597	20039
530	22628	19986
531	22657	19931
532	22683	19874
533	22709	19817
534	22741	19765
535	22767	19709
536	22930	19770
537	23003	19753
538	23033	19700
539	23194	19757
540	23298	19767
541	23327	19711
542	23354	19655
543	23384	19601
544	23411	19545
545	23439	19490
546	23467	19434
547	23494	19378
548	23521	19323
549	23581	19294
550	23746	19350
551	23878	19379
552	23971	19376
553	24005	19325
554	24042	19277
555	24073	19223
556	24098	19166
557	24125	19109
558	24149	19051
559	24172	18993
560	24199	18936
561	24224	18879
562	24257	18828
563	24291	18778
564	24331	18733
565	24371	18688
566	24406	18638
567	24449	18595
568	24479	18542
569	24511	18491
570	24621	18498
571	24685	18470
572	24734	18432
573	24766	18380
574	24803	18333
575	24834	18280
576	24866	18230
577	24896	18176
578	24924	18123
579	24958	18073
580	24996	18026
581	25027	17974
582	25058	17923
583	25092	17874
584	25127	17825
585	25174	17785
586	25244	17761
587	25299	17727
588	25358	17695
589	25410	17658
590	25478	17632
591	25531	17595
592	25566	17547
593	25599	17497
594	25633	17447
595	25678	17406
596	25727	17367
597	25763	17319
598	25798	17270
599	25834	17223
600	25868	17173
601	25900	17123
602	25937	17076
603	25976	17030
604	26006	16979
605	26047	16935
606	26078	16884
607	26121	16841
608	26160	16796
609	26209	16756
610	26254	16715
611	26289	16667
612	26328	16622
613	26371	16578
614	26407	16531
615	26459	16494
616	26501	16450
617	26531	16399
618	26566	16352
619	26608	16308
620	26647	16263
621	26745	16253
622	26863	16256
623	26903	16210
624	26950	16170
625	26984	16121
626	27023	16076
627	27059	16028
628	27103	15986
629	27136	15937
630	27184	15897
631	27260	15873
632	27341	15852
633	27401	15818
634	27465	15787
635	27510	15744
636	27550	15700
637	27611	15666
638	27655	15623
639	27713	15588
640	27753	15543
641	27818	15512
642	27859	15467
643	27900	15423
