iter	RMSE
0	45.8817507
1	44.92147881
2	44.06200334
3	43.32190622
4	42.62619339
5	42.04643455
6	41.51069388
7	41.02688876
8	40.59475165
9	40.14267143
10	39.75802227
11	39.40106707
12	39.07709121
13	38.78565155
14	38.48465847
15	38.18836657
16	37.9381705
17	37.71185574
18	37.54302514
19	37.33137287
20	37.16809153
21	36.98762394
22	36.78564541
23	36.60316545
24	36.44292788
25	36.2456945
26	36.09714762
27	35.96446815
28	35.860454
29	35.74438381
30	35.61781764
31	35.4903811
32	35.38763728
33	35.28483292
34	35.17767642
35	35.0973034
36	34.99907641
37	34.9103971
38	34.82628488
39	34.74990862
40	34.66146954
41	34.58084438
42	34.51717156
43	34.43014526
44	34.3192158
45	34.23987118
46	34.1633619
47	34.05707973
48	33.96323864
49	33.89582061
50	33.80152903
51	33.75265522
52	33.70430468
53	33.64378176
54	33.56967751
55	33.51381971
56	33.44081663
57	33.39279533
58	33.34475188
59	33.29948498
60	33.24590381
61	33.20049228
62	33.14573298
63	33.09166289
64	33.03658059
65	32.98165741
66	32.89318825
67	32.84044222
68	32.78943044
69	32.72044116
70	32.64271483
71	32.60628163
72	32.52556768
73	32.49622856
74	32.45432577
75	32.38506266
76	32.35108635
77	32.32427157
78	32.27042802
79	32.21930034
80	32.17919124
81	32.14642404
82	32.09294341
83	32.06848223
84	32.02713872
85	31.95038566
86	31.89972961
87	31.84022167
88	31.80986554
89	31.76128334
90	31.73788415
91	31.69533393
92	31.67380744
93	31.64252525
94	31.60235462
95	31.56625712
96	31.54620559
97	31.51347974
98	31.49046634
99	31.43725968
100	31.39371182
101	31.35645004
102	31.33122619
103	31.28456133
104	31.23547947
105	31.17483067
106	31.1222373
107	31.0892106
108	31.04759946
109	30.98123064
110	30.91940055
111	30.88739292
112	30.86365837
113	30.83074245
114	30.79949326
115	30.75032558
116	30.69534357
117	30.65546847
118	30.62015067
119	30.59412026
120	30.5484103
121	30.51602404
122	30.48612359
123	30.44145897
124	30.41283144
125	30.36871419
126	30.31045685
127	30.26466828
128	30.22904884
129	30.18397573
130	30.1482366
131	30.11608939
132	30.09411807
133	30.05231895
134	30.01169592
135	29.97343841
136	29.94444172
137	29.91120965
138	29.87067384
139	29.85409707
140	29.82005661
141	29.76692038
142	29.73244054
143	29.68699985
144	29.65550611
145	29.63167371
146	29.56708635
147	29.54008788
148	29.47309184
149	29.43244484
150	29.40569903
151	29.37006018
152	29.34208259
153	29.30170882
154	29.27572853
155	29.22771501
156	29.21518339
157	29.17350251
158	29.14573279
159	29.12118919
160	29.07783156
161	29.03274701
162	28.98928625
163	28.9630199
164	28.93763183
165	28.90226407
166	28.87515711
167	28.85598359
168	28.82376682
169	28.78047191
170	28.71239387
171	28.69161204
172	28.66892021
173	28.62092971
174	28.59333094
175	28.56874892
176	28.54209329
177	28.51221707
178	28.49196174
179	28.46304553
180	28.43723109
181	28.40712972
182	28.38963417
183	28.35297972
184	28.3365146
185	28.3030687
186	28.26897336
187	28.22809075
188	28.20678348
189	28.18115051
190	28.13540524
191	28.10753281
192	28.07224094
193	28.04913721
194	28.02263109
195	28.01073854
196	27.98450951
197	27.95768784
198	27.94100715
199	27.91615086
200	27.84715976
201	27.82679819
202	27.79897402
203	27.77100043
204	27.74901836
205	27.73178714
206	27.71589223
207	27.68904018
208	27.64538118
209	27.6229332
210	27.59015309
211	27.56840167
212	27.54840756
213	27.52802839
214	27.5171723
215	27.49483564
216	27.47277051
217	27.45264692
218	27.4312919
219	27.41479277
220	27.38777462
221	27.35256412
222	27.32318605
223	27.30644408
224	27.27912604
225	27.25065083
226	27.22155706
227	27.18993468
228	27.17383966
229	27.16082325
230	27.13549324
231	27.10092989
232	27.07640662
233	27.05398879
234	27.0110613
235	26.97722842
236	26.94896091
237	26.92124893
238	26.899824
239	26.84998533
240	26.83401203
241	26.8077875
242	26.78958296
243	26.78292784
244	26.75573202
245	26.73168417
246	26.70022307
247	26.67928106
248	26.66371859
249	26.63971065
250	26.62285387
251	26.5994454
252	26.58712877
253	26.57012921
254	26.5525743
255	26.53092926
256	26.51810041
257	26.47868428
258	26.45452082
259	26.42509668
260	26.40950382
261	26.39090767
262	26.37290172
263	26.36493859
264	26.35325988
265	26.31618072
266	26.29685258
267	26.27636686
268	26.26262784
269	26.23451103
270	26.21448279
271	26.18777796
272	26.17118947
273	26.15405562
274	26.12843644
275	26.09892888
276	26.0779918
277	26.06425019
278	26.0412829
279	26.01363817
280	25.99883972
281	25.98230338
282	25.97009814
283	25.94976375
284	25.93132821
285	25.909036
286	25.88617524
287	25.87345041
288	25.86614716
289	25.85366358
290	25.82459754
291	25.80278105
292	25.78598458
293	25.76274937
294	25.74501196
295	25.70808511
296	25.67477408
297	25.65579537
298	25.6392203
299	25.62886739
300	25.60949951
301	25.59158383
302	25.55802792
303	25.54025696
304	25.5108646
305	25.49785855
306	25.4774991
307	25.45601289
308	25.44752966
309	25.43030481
310	25.40811865
311	25.39094057
312	25.37722666
313	25.36104467
314	25.34214914
315	25.32703699
316	25.31052049
317	25.28927761
318	25.27277592
319	25.24480172
320	25.21631628
321	25.20129327
322	25.18303474
323	25.16588807
324	25.1524876
325	25.13899611
326	25.12257058
327	25.09861088
328	25.08009516
329	25.06309098
330	25.04308508
331	25.03079273
332	25.01451804
333	24.99569134
334	24.97823448
335	24.95794961
336	24.94449638
337	24.92707102
338	24.9058418
339	24.87685056
340	24.86151615
341	24.83568663
342	24.82164079
343	24.80465996
344	24.7861333
345	24.78082177
346	24.76574193
347	24.74099361
348	24.72033797
349	24.70858608
350	24.69355645
351	24.67828863
352	24.65011156
353	24.63283297
354	24.61235421
355	24.5977244
356	24.56348214
357	24.55399851
358	24.5391028
359	24.52754274
360	24.50180086
361	24.48162994
362	24.45796833
363	24.43902496
364	24.42488431
365	24.41000048
366	24.39452115
367	24.38182354
368	24.36164326
369	24.34102768
370	24.32012412
371	24.29763534
372	24.28749165
373	24.27001043
374	24.25169523
375	24.24029827
376	24.22481125
377	24.21128191
378	24.20071592
379	24.1779029
380	24.16860126
381	24.15344111
382	24.12834131
383	24.11685319
384	24.10120265
385	24.08560664
386	24.07691295
387	24.06342931
388	24.04491509
389	24.03314288
390	24.00587114
391	23.99227374
392	23.97990945
393	23.96606377
394	23.95338325
395	23.94026566
396	23.92480823
397	23.9139521
398	23.90586486
399	23.8924381
400	23.87221492
401	23.86264174
402	23.8524884
403	23.84244207
404	23.82659937
405	23.80385816
406	23.79808662
407	23.78106668
408	23.75875515
409	23.73046435
410	23.71901422
411	23.70502667
412	23.68383242
413	23.66973611
414	23.66081636
415	23.65247285
416	23.63617468
417	23.62190423
418	23.6040759
419	23.59232892
420	23.5806767
421	23.55617239
422	23.54065279
423	23.51565667
424	23.49807974
425	23.48554481
426	23.47232232
427	23.45391653
428	23.43802074
429	23.42715602
430	23.41904938
431	23.40517154
432	23.39424995
433	23.37755385
434	23.36146998
435	23.34500486
436	23.329178
437	23.31705532
438	23.30399476
439	23.29559392
440	23.28247541
441	23.26999455
442	23.25396267
443	23.2429241
444	23.22943111
445	23.2204236
446	23.20381828
447	23.19390592
448	23.18125684
449	23.16202281
450	23.15215564
451	23.14577996
452	23.13122875
453	23.12026911
454	23.10107645
455	23.08443483
456	23.07388502
457	23.05512179
458	23.037546
459	23.02548285
460	23.01108807
461	23.00155897
462	22.98462094
463	22.97321078
464	22.957606
465	22.9372362
466	22.91874943
467	22.89933021
468	22.87998977
469	22.86871406
470	22.8559609
471	22.84278327
472	22.83014114
473	22.81513566
474	22.79817194
475	22.78702211
476	22.77431465
477	22.75207515
478	22.74265207
479	22.72866196
480	22.71982658
481	22.69824372
482	22.68888661
483	22.66926603
484	22.65947459
485	22.65233928
486	22.64129754
487	22.62607087
488	22.6153701
489	22.6023582
490	22.58527013
491	22.57691698
492	22.56422294
493	22.54711101
494	22.5349555
495	22.5192156
496	22.50272664
497	22.49215453
498	22.47643695
499	22.46262289
500	22.45233159
501	22.43022843
502	22.42450252
503	22.41636146
504	22.40053217
505	22.39332091
506	22.38216233
507	22.36781523
508	22.34993138
509	22.33085407
510	22.32303537
511	22.30946381
512	22.29964247
513	22.28780704
514	22.27889831
515	22.27151132
516	22.25730084
517	22.23081697
518	22.21389524
519	22.19136838
520	22.17618069
521	22.15930916
522	22.1464484
523	22.13869456
524	22.1299361
525	22.11869608
526	22.11143824
527	22.09377104
528	22.07742081
529	22.0617779
530	22.05097163
531	22.03692452
532	22.02920726
533	22.02013736
534	22.01051186
535	22.00057447
536	21.99231562
537	21.97189213
538	21.96018209
539	21.95113637
540	21.93525533
541	21.92395784
542	21.91462689
543	21.89802148
544	21.88520981
545	21.87181019
546	21.85960593
547	21.84931994
548	21.84115444
549	21.83001693
550	21.81936167
551	21.80961417
552	21.79429012
553	21.78267882
554	21.77504975
555	21.76167766
556	21.74778934
557	21.7355792
558	21.72149299
559	21.7093393
560	21.69697339
561	21.67832752
562	21.666147
563	21.65824256
564	21.64214438
565	21.63356024
566	21.62563203
567	21.61209276
568	21.60112769
569	21.59171292
570	21.57831283
571	21.56406458
572	21.54989256
573	21.53876537
574	21.53142094
575	21.52151389
576	21.51481332
577	21.50600728
578	21.4968303
579	21.48655953
580	21.47422197
581	21.46178303
582	21.446885
583	21.43714304
584	21.42743053
585	21.419004
586	21.40392522
587	21.39515346
588	21.39072494
589	21.3784483
590	21.36396748
591	21.35055591
592	21.33373593
593	21.327123
594	21.31154853
595	21.3000495
596	21.29357064
597	21.28331755
598	21.27370093
599	21.25919168
600	21.24984565
601	21.24002949
602	21.21943289
603	21.19814569
604	21.18393426
605	21.17639429
606	21.17005499
607	21.16102648
608	21.15527651
609	21.14310808
610	21.13174637
611	21.12067792
612	21.11103451
613	21.09842568
614	21.08965679
615	21.07808187
616	21.06610371
617	21.05718496
618	21.04650408
619	21.03103806
620	21.02135599
621	21.01368191
622	21.00578327
623	20.99980894
624	20.99462727
625	20.98647681
626	20.97010315
627	20.96015305
628	20.95122965
629	20.94012437
630	20.93067129
631	20.9178369
632	20.89984811
633	20.88555588
634	20.87697486
635	20.86716222
636	20.85418175
637	20.84299596
638	20.83303715
639	20.81681621
640	20.80791248
641	20.79433074
642	20.78541787
643	20.77447961
644	20.75738084
645	20.75149288
646	20.73885866
647	20.73017475
648	20.72110339
649	20.69649029
650	20.68532807
651	20.67659108
652	20.66803921
653	20.6584706
654	20.64494243
655	20.63416813
656	20.62735689
657	20.61861002
658	20.60569824
659	20.59216513
660	20.5809651
661	20.57330841
662	20.56059515
663	20.55193057
664	20.54818144
665	20.54114597
666	20.52513494
667	20.51973254
668	20.5125833
669	20.502011
670	20.48974679
671	20.48025683
672	20.47101191
673	20.45725279
674	20.44914141
675	20.4383739
676	20.43092041
677	20.42213816
678	20.40995513
679	20.40209816
680	20.39066839
681	20.38174871
682	20.37093626
683	20.36491782
684	20.35812209
685	20.34407106
686	20.33344401
687	20.32425242
688	20.31563936
689	20.30281767
690	20.29347552
691	20.28269321
692	20.2701189
693	20.2603735
694	20.24941515
695	20.23927648
696	20.23218935
697	20.22438875
698	20.21515904
699	20.2079511
700	20.20049167
701	20.19289603
702	20.18293025
703	20.17551339
704	20.16686299
705	20.15975451
706	20.15087522
707	20.14074136
708	20.13368591
709	20.12498337
710	20.11452228
711	20.1039778
712	20.09622548
713	20.08907702
714	20.08312211
715	20.06870375
716	20.05765565
717	20.04584384
718	20.02952521
719	20.02439272
720	20.016733
721	20.01070653
722	20.00333115
723	19.99592602
724	19.98269734
725	19.97080682
726	19.96368559
727	19.95627169
728	19.94850475
729	19.94078529
730	19.93384724
731	19.92480971
732	19.9163658
733	19.91060427
734	19.89869545
735	19.89133689
736	19.8794038
737	19.87184297
738	19.85982103
739	19.84895064
740	19.83642169
741	19.82634743
742	19.81508235
743	19.80872875
744	19.80126006
745	19.79158997
746	19.78392443
747	19.7773105
748	19.7687119
749	19.758016
750	19.74175037
751	19.73454353
752	19.72089217
753	19.70940784
754	19.70212611
755	19.69340965
756	19.68174022
757	19.67159392
758	19.66004182
759	19.65047337
760	19.64296179
761	19.63336457
762	19.62670966
763	19.61753675
764	19.60652873
765	19.59520011
766	19.58148062
767	19.57037447
768	19.55782589
769	19.5484773
770	19.53704415
771	19.52850996
772	19.52053612
773	19.51103719
774	19.50420405
775	19.49744953
776	19.49169137
777	19.48594379
778	19.47667462
779	19.46538506
780	19.45566292
781	19.44960646
782	19.43868787
783	19.43238916
784	19.42001141
785	19.40706761
786	19.39520825
787	19.38614327
788	19.37981445
789	19.37117326
790	19.36506936
791	19.35696635
792	19.34639082
793	19.33666259
794	19.3265536
795	19.31510369
796	19.30550349
797	19.29677569
798	19.28879659
799	19.28260069
800	19.27354765
801	19.26785569
802	19.25820705
803	19.25001316
804	19.24008224
805	19.22860764
806	19.21927137
807	19.21268825
808	19.20718855
809	19.19908553
810	19.19186656
811	19.18096999
812	19.16990955
